,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
1918,2021-03-09,Suffolk,Chelsea,0-19 Years,9581.0,48.0,,,,
1919,2021-03-09,Suffolk,Chelsea,20-29 Years,6170.0,643.0,405.0,,,238.0
1920,2021-03-09,Suffolk,Chelsea,30-49 Years,11744.0,1833.0,1044.0,,,789.0
1921,2021-03-09,Suffolk,Chelsea,50-64 Years,5861.0,1422.0,664.0,,,758.0
1922,2021-03-09,Suffolk,Chelsea,65-74 Years,2092.0,1150.0,405.0,,,745.0
1923,2021-03-09,Suffolk,Chelsea,75+ Years,1471.0,1106.0,847.0,,,259.0
1924,2021-03-09,Suffolk,Chelsea,Total,36918.0,6202.0,,,,
4277,2021-03-16,Suffolk,Chelsea,0-19 Years,9581.0,57.0,30.0,,,
4278,2021-03-16,Suffolk,Chelsea,20-29 Years,6170.0,740.0,454.0,,,286.0
4279,2021-03-16,Suffolk,Chelsea,30-49 Years,11744.0,2093.0,1178.0,,,915.0
4280,2021-03-16,Suffolk,Chelsea,50-64 Years,5861.0,1670.0,792.0,,,878.0
4281,2021-03-16,Suffolk,Chelsea,65-74 Years,2092.0,1377.0,627.0,,,750.0
4282,2021-03-16,Suffolk,Chelsea,75+ Years,1471.0,1156.0,957.0,,,199.0
4283,2021-03-16,Suffolk,Chelsea,Total,36918.0,7093.0,4038.0,,,
6636,2021-03-23,Suffolk,Chelsea,0-19 Years,9581.0,69.0,34.0,,,35.0
6637,2021-03-23,Suffolk,Chelsea,20-29 Years,6170.0,882.0,511.0,,,371.0
6638,2021-03-23,Suffolk,Chelsea,30-49 Years,11744.0,2497.0,1360.0,,,1137.0
6639,2021-03-23,Suffolk,Chelsea,50-64 Years,5861.0,1997.0,1030.0,,,967.0
6640,2021-03-23,Suffolk,Chelsea,65-74 Years,2092.0,1508.0,900.0,,,608.0
6641,2021-03-23,Suffolk,Chelsea,75+ Years,1471.0,1193.0,1005.0,,,188.0
6642,2021-03-23,Suffolk,Chelsea,Total,36918.0,8146.0,4840.0,,,3306.0
8995,2021-03-30,Suffolk,Chelsea,0-19 Years,9581.0,91.0,39.0,,,52.0
8996,2021-03-30,Suffolk,Chelsea,20-29 Years,6170.0,1053.0,589.0,,,464.0
8997,2021-03-30,Suffolk,Chelsea,30-49 Years,11744.0,2991.0,1610.0,,,1381.0
