date,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-09,Newton,75+ Years,7438.0,6814.0,5145.0,5501.0,4239.0,1669.0
2021-03-16,Newton,75+ Years,7438.0,7003.0,5863.0,5501.0,4239.0,1140.0
2021-03-23,Newton,75+ Years,7438.0,7086.0,6103.0,5501.0,4239.0,983.0
2021-03-30,Newton,75+ Years,7438.0,7228.0,6273.0,5501.0,4239.0,955.0
2021-04-06,Newton,75+ Years,7438.0,7284.0,6390.0,5501.0,4239.0,894.0
2021-04-13,Newton,75+ Years,7438.0,7343.0,6544.0,5501.0,4239.0,799.0
2021-04-20,Newton,75+ Years,7438.0,7383.0,6618.0,5501.0,4239.0,765.0
2021-04-27,Newton,75+ Years,7438.0,7414.0,6726.0,5501.0,4239.0,688.0
2021-05-04,Newton,75+ Years,7438.0,7464.0,6784.0,5501.0,4239.0,680.0
2021-05-11,Newton,75+ Years,7438.0,7502.0,6841.0,5501.0,4239.0,661.0
2021-05-18,Newton,75+ Years,7438.0,7529.0,6884.0,5501.0,4239.0,645.0
2021-05-25,Newton,75+ Years,7438.0,7553.0,6912.0,5501.0,4239.0,641.0
2021-06-01,Newton,75+ Years,7438.0,7557.0,6934.0,5501.0,4239.0,623.0
2021-06-08,Newton,75+ Years,7438.0,7571.0,6952.0,5501.0,4239.0,619.0
2021-06-15,Newton,75+ Years,7438.0,7583.0,6968.0,5501.0,4239.0,615.0
2021-06-22,Newton,75+ Years,7438.0,7591.0,6990.0,5501.0,4239.0,601.0
2021-06-29,Newton,75+ Years,7438.0,7600.0,7006.0,5501.0,4239.0,594.0
2021-07-06,Newton,75+ Years,7438.0,7608.0,7016.0,5501.0,4239.0,592.0
2021-07-13,Newton,75+ Years,7438.0,7614.0,7023.0,5501.0,4239.0,591.0
2021-07-20,Newton,75+ Years,7438.0,7626.0,7031.0,5501.0,4239.0,595.0
2021-07-27,Newton,75+ Years,7438.0,7637.0,7035.0,5501.0,4239.0,602.0
2021-08-03,Newton,75+ Years,7438.0,7647.0,7045.0,5501.0,4239.0,602.0
2021-08-10,Newton,75+ Years,7438.0,7661.0,7055.0,5501.0,4239.0,606.0
2021-08-17,Newton,75+ Years,7438.0,7686.0,7072.0,5501.0,4239.0,614.0
2021-08-24,Newton,75+ Years,7438.0,7733.0,7091.0,5501.0,4239.0,642.0
2021-08-31,Newton,75+ Years,7438.0,7766.0,7120.0,5501.0,4239.0,646.0
2021-09-07,Newton,75+ Years,7438.0,7796.0,7102.0,5501.0,4239.0,694.0
2021-09-14,Newton,75+ Years,7438.0,7853.0,7131.0,5501.0,4239.0,722.0
2021-09-21,Newton,75+ Years,7438.0,7914.0,7180.0,5501.0,4239.0,734.0
2021-09-28,Newton,75+ Years,7438.0,7995.0,7197.0,5501.0,4239.0,798.0
2021-10-05,Newton,75+ Years,7438.0,8099.0,7221.0,5501.0,4239.0,878.0
2021-10-12,Newton,75+ Years,7438.0,8183.0,7235.0,5501.0,4239.0,948.0
2021-10-19,Newton,75+ Years,7438.0,8257.0,7238.0,5501.0,4239.0,1019.0
2021-10-26,Newton,75+ Years,7438.0,8376.0,7289.0,5501.0,4239.0,1087.0
2021-11-02,Newton,75+ Years,7438.0,8532.0,7357.0,5501.0,4239.0,1175.0
2021-11-09,Newton,75+ Years,7438.0,8679.0,7418.0,5501.0,4239.0,1261.0
2021-11-16,Newton,75+ Years,7438.0,8778.0,7470.0,5501.0,4239.0,1308.0
2021-11-23,Newton,75+ Years,7438.0,8811.0,7468.0,5501.0,4239.0,1343.0
2021-11-30,Newton,75+ Years,7438.0,8845.0,7484.0,5501.0,4239.0,1361.0
2021-12-07,Newton,75+ Years,7438.0,8811.0,7490.0,5501.0,4239.0,1321.0
2021-12-14,Newton,75+ Years,7438.0,8832.0,7495.0,5501.0,4239.0,1337.0
2021-12-21,Newton,75+ Years,7438.0,8851.0,7510.0,5501.0,4239.0,1341.0
2021-12-28,Newton,75+ Years,7438.0,8788.0,7517.0,5657.0,4239.0,1271.0
2022-01-04,Newton,75+ Years,7438.0,8731.0,7531.0,5790.0,4239.0,1200.0
2022-01-11,Newton,75+ Years,7438.0,8591.0,7543.0,6022.0,4239.0,1048.0
2022-01-18,Newton,75+ Years,7438.0,8594.0,7546.0,6124.0,4239.0,1048.0
2022-01-25,Newton,75+ Years,7438.0,8614.0,7551.0,6171.0,4239.0,1063.0
2022-02-01,Newton,75+ Years,7438.0,8613.0,7554.0,6202.0,4239.0,1059.0
2022-02-08,Newton,75+ Years,7438.0,8616.0,7557.0,6236.0,4239.0,1059.0
2022-02-15,Newton,75+ Years,7438.0,8611.0,7553.0,6256.0,4239.0,1058.0
2022-02-22,Newton,75+ Years,7438.0,8615.0,7561.0,6278.0,4239.0,1054.0
2022-03-01,Newton,75+ Years,7438.0,8613.0,7563.0,6284.0,4239.0,1050.0
2022-03-08,Newton,75+ Years,7438.0,8612.0,7567.0,6296.0,4239.0,1045.0
2022-03-15,Newton,75+ Years,7438.0,8605.0,7569.0,6309.0,4239.0,1036.0
2022-03-22,Newton,75+ Years,7438.0,8595.0,7571.0,6338.0,4239.0,1024.0
2022-03-29,Newton,75+ Years,7438.0,8585.0,7575.0,6364.0,4239.0,1010.0
2022-04-05,Newton,75+ Years,7438.0,8591.0,7612.0,6424.0,4239.0,979.0
2022-04-12,Newton,75+ Years,7438.0,8615.0,7645.0,6485.0,4239.0,970.0
2022-04-19,Newton,75+ Years,7438.0,8647.0,7671.0,6551.0,4239.0,976.0
2022-04-26,Newton,75+ Years,7438.0,8674.0,7709.0,6609.0,4239.0,965.0
2022-05-03,Newton,75+ Years,7438.0,8758.0,7747.0,6691.0,4239.0,1011.0
2022-05-10,Newton,75+ Years,7438.0,8792.0,7769.0,6724.0,4239.0,1023.0
2022-05-17,Newton,75+ Years,7438.0,8807.0,7795.0,6751.0,4239.0,1012.0
2022-05-24,Newton,75+ Years,7438.0,8825.0,7801.0,6760.0,4239.0,1024.0
2022-05-31,Newton,75+ Years,7438.0,8828.0,7804.0,6774.0,4239.0,1024.0
2022-06-07,Newton,75+ Years,7438.0,8833.0,7815.0,6790.0,4239.0,1018.0
2022-06-14,Newton,75+ Years,7438.0,8829.0,7820.0,6791.0,4239.0,1009.0
2022-06-21,Newton,75+ Years,7438.0,8837.0,7823.0,6796.0,4239.0,1014.0
2022-06-28,Newton,75+ Years,7438.0,8836.0,7829.0,6807.0,4239.0,1007.0
