date,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-09,Revere,75+ Years,4312.0,2579.0,1874.0,1767.0,942.0,705.0
2021-03-16,Revere,75+ Years,4312.0,2687.0,2096.0,1767.0,942.0,591.0
2021-03-23,Revere,75+ Years,4312.0,2765.0,2225.0,1767.0,942.0,540.0
2021-03-30,Revere,75+ Years,4312.0,2822.0,2272.0,1767.0,942.0,550.0
2021-04-06,Revere,75+ Years,4312.0,2873.0,2330.0,1767.0,942.0,543.0
2021-04-13,Revere,75+ Years,4312.0,2926.0,2429.0,1767.0,942.0,497.0
2021-04-20,Revere,75+ Years,4312.0,2948.0,2475.0,1767.0,942.0,473.0
2021-04-27,Revere,75+ Years,4312.0,2980.0,2559.0,1767.0,942.0,421.0
2021-05-04,Revere,75+ Years,4312.0,2995.0,2586.0,1767.0,942.0,409.0
2021-05-11,Revere,75+ Years,4312.0,3020.0,2608.0,1767.0,942.0,412.0
2021-05-18,Revere,75+ Years,4312.0,3043.0,2625.0,1767.0,942.0,418.0
2021-05-25,Revere,75+ Years,4312.0,3063.0,2657.0,1767.0,942.0,406.0
2021-06-01,Revere,75+ Years,4312.0,3071.0,2681.0,1767.0,942.0,390.0
2021-06-08,Revere,75+ Years,4312.0,3082.0,2697.0,1767.0,942.0,385.0
2021-06-15,Revere,75+ Years,4312.0,3090.0,2708.0,1767.0,942.0,382.0
2021-06-22,Revere,75+ Years,4312.0,3095.0,2717.0,1767.0,942.0,378.0
2021-06-29,Revere,75+ Years,4312.0,3101.0,2723.0,1767.0,942.0,378.0
2021-07-06,Revere,75+ Years,4312.0,3105.0,2726.0,1767.0,942.0,379.0
2021-07-13,Revere,75+ Years,4312.0,3112.0,2736.0,1767.0,942.0,376.0
2021-07-20,Revere,75+ Years,4312.0,3124.0,2743.0,1767.0,942.0,381.0
2021-07-27,Revere,75+ Years,4312.0,3132.0,2748.0,1767.0,942.0,384.0
