date,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-09,Wellesley,75+ Years,2135.0,1905.0,1436.0,1497.0,1172.0,469.0
2021-03-16,Wellesley,75+ Years,2135.0,1975.0,1637.0,1497.0,1172.0,338.0
2021-03-23,Wellesley,75+ Years,2135.0,2000.0,1723.0,1497.0,1172.0,277.0
2021-03-30,Wellesley,75+ Years,2135.0,2010.0,1746.0,1497.0,1172.0,264.0
2021-04-06,Wellesley,75+ Years,2135.0,2026.0,1811.0,1497.0,1172.0,215.0
2021-04-13,Wellesley,75+ Years,2135.0,2036.0,1845.0,1497.0,1172.0,191.0
2021-04-20,Wellesley,75+ Years,2135.0,2048.0,1870.0,1497.0,1172.0,178.0
2021-04-27,Wellesley,75+ Years,2135.0,2053.0,1885.0,1497.0,1172.0,168.0
2021-05-04,Wellesley,75+ Years,2135.0,2061.0,1889.0,1497.0,1172.0,172.0
2021-05-11,Wellesley,75+ Years,2135.0,2067.0,1893.0,1497.0,1172.0,174.0
2021-05-18,Wellesley,75+ Years,2135.0,2069.0,1899.0,1497.0,1172.0,170.0
2021-05-25,Wellesley,75+ Years,2135.0,2072.0,1903.0,1497.0,1172.0,169.0
2021-06-01,Wellesley,75+ Years,2135.0,2077.0,1914.0,1497.0,1172.0,163.0
2021-06-08,Wellesley,75+ Years,2135.0,2077.0,1930.0,1497.0,1172.0,147.0
2021-06-15,Wellesley,75+ Years,2135.0,2078.0,1936.0,1497.0,1172.0,142.0
2021-06-22,Wellesley,75+ Years,2135.0,2080.0,1938.0,1497.0,1172.0,142.0
2021-06-29,Wellesley,75+ Years,2135.0,2080.0,1944.0,1497.0,1172.0,136.0
2021-07-06,Wellesley,75+ Years,2135.0,2081.0,1945.0,1497.0,1172.0,136.0
2021-07-13,Wellesley,75+ Years,2135.0,2089.0,1953.0,1497.0,1172.0,136.0
2021-07-20,Wellesley,75+ Years,2135.0,2097.0,1955.0,1497.0,1172.0,142.0
2021-07-27,Wellesley,75+ Years,2135.0,2094.0,1951.0,1497.0,1172.0,143.0
2021-08-03,Wellesley,75+ Years,2135.0,2096.0,1955.0,1497.0,1172.0,141.0
2021-08-10,Wellesley,75+ Years,2135.0,2096.0,1954.0,1497.0,1172.0,142.0
2021-08-17,Wellesley,75+ Years,2135.0,2107.0,1958.0,1497.0,1172.0,149.0
2021-08-24,Wellesley,75+ Years,2135.0,2125.0,1966.0,1497.0,1172.0,159.0
2021-08-31,Wellesley,75+ Years,2135.0,2123.0,1969.0,1497.0,1172.0,154.0
2021-09-07,Wellesley,75+ Years,2135.0,2104.0,1948.0,1497.0,1172.0,156.0
2021-09-14,Wellesley,75+ Years,2135.0,2113.0,1947.0,1497.0,1172.0,166.0
2021-09-21,Wellesley,75+ Years,2135.0,2127.0,1965.0,1497.0,1172.0,162.0
2021-09-28,Wellesley,75+ Years,2135.0,2145.0,1967.0,1497.0,1172.0,178.0
2021-10-05,Wellesley,75+ Years,2135.0,2167.0,1961.0,1497.0,1172.0,206.0
2021-10-12,Wellesley,75+ Years,2135.0,2194.0,1964.0,1497.0,1172.0,230.0
2021-10-19,Wellesley,75+ Years,2135.0,2239.0,1974.0,1497.0,1172.0,265.0
2021-10-26,Wellesley,75+ Years,2135.0,2261.0,1977.0,1497.0,1172.0,284.0
2021-11-02,Wellesley,75+ Years,2135.0,2298.0,1981.0,1497.0,1172.0,317.0
2021-11-09,Wellesley,75+ Years,2135.0,2342.0,1995.0,1497.0,1172.0,347.0
2021-11-16,Wellesley,75+ Years,2135.0,2398.0,2030.0,1497.0,1172.0,368.0
2021-11-23,Wellesley,75+ Years,2135.0,2412.0,2031.0,1497.0,1172.0,381.0
