date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-09,Suffolk,Chelsea,0-19 Years,9581,48,0,,,48
2021-03-09,Suffolk,Chelsea,20-29 Years,6170,643,405,,,238
2021-03-09,Suffolk,Chelsea,30-49 Years,11744,1833,1044,,,789
2021-03-09,Suffolk,Chelsea,50-64 Years,5861,1422,664,,,758
2021-03-09,Suffolk,Chelsea,65-74 Years,2092,1150,405,,,745
2021-03-09,Suffolk,Chelsea,75+ Years,1471,1106,847,,,259
2021-03-09,Suffolk,Chelsea,Total,36918,6202,0,,,6202
2021-03-09,Suffolk,Revere,0-19 Years,13297,82,34,,,48
2021-03-09,Suffolk,Revere,20-29 Years,8303,797,526,,,271
2021-03-09,Suffolk,Revere,30-49 Years,17705,2387,1383,,,1004
2021-03-09,Suffolk,Revere,50-64 Years,12184,2525,1126,,,1399
2021-03-09,Suffolk,Revere,65-74 Years,5047,2459,756,,,1703
2021-03-09,Suffolk,Revere,75+ Years,4312,2579,1874,,,705
2021-03-09,Suffolk,Revere,Total,60849,10829,5699,,,5130
2021-03-09,Middlesex,Newton,0-19 Years,24626,236,84,,,152
2021-03-09,Middlesex,Newton,20-29 Years,12487,1655,1102,,,553
2021-03-09,Middlesex,Newton,30-49 Years,19706,5448,3550,,,1898
2021-03-09,Middlesex,Newton,50-64 Years,17494,5851,3322,,,2529
2021-03-09,Middlesex,Newton,65-74 Years,9938,7382,2404,,,4978
2021-03-09,Middlesex,Newton,75+ Years,7438,6814,5145,,,1669
2021-03-09,Middlesex,Newton,Total,91690,27386,15607,,,11779
2021-03-09,Norfolk,Wellesley,0-19 Years,9572,59,28,,,31
2021-03-09,Norfolk,Wellesley,20-29 Years,4462,323,178,,,145
2021-03-09,Norfolk,Wellesley,30-49 Years,5413,1038,602,,,436
2021-03-09,Norfolk,Wellesley,50-64 Years,5510,1363,670,,,693
2021-03-09,Norfolk,Wellesley,65-74 Years,2621,1612,400,,,1212
2021-03-09,Norfolk,Wellesley,75+ Years,2135,1905,1436,,,469
2021-03-09,Norfolk,Wellesley,Total,29713,6300,3314,,,2986
2021-03-16,Suffolk,Chelsea,0-19 Years,9581,57,30,,,27
2021-03-16,Suffolk,Chelsea,20-29 Years,6170,740,454,,,286
2021-03-16,Suffolk,Chelsea,30-49 Years,11744,2093,1178,,,915
2021-03-16,Suffolk,Chelsea,50-64 Years,5861,1670,792,,,878
2021-03-16,Suffolk,Chelsea,65-74 Years,2092,1377,627,,,750
2021-03-16,Suffolk,Chelsea,75+ Years,1471,1156,957,,,199
2021-03-16,Suffolk,Chelsea,Total,36918,7093,4038,,,3055
2021-03-16,Suffolk,Revere,0-19 Years,13297,103,40,,,63
