,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
1925,2021-03-09,Suffolk,Revere,0-19 Years,13297.0,82.0,34.0,,,48.0
1926,2021-03-09,Suffolk,Revere,20-29 Years,8303.0,797.0,526.0,,,271.0
1927,2021-03-09,Suffolk,Revere,30-49 Years,17705.0,2387.0,1383.0,,,1004.0
1928,2021-03-09,Suffolk,Revere,50-64 Years,12184.0,2525.0,1126.0,,,1399.0
1929,2021-03-09,Suffolk,Revere,65-74 Years,5047.0,2459.0,756.0,,,1703.0
1930,2021-03-09,Suffolk,Revere,75+ Years,4312.0,2579.0,1874.0,,,705.0
1931,2021-03-09,Suffolk,Revere,Total,60849.0,10829.0,5699.0,,,5130.0
4284,2021-03-16,Suffolk,Revere,0-19 Years,13297.0,103.0,40.0,,,63.0
4285,2021-03-16,Suffolk,Revere,20-29 Years,8303.0,937.0,601.0,,,336.0
4286,2021-03-16,Suffolk,Revere,30-49 Years,17705.0,2885.0,1651.0,,,1234.0
4287,2021-03-16,Suffolk,Revere,50-64 Years,12184.0,3078.0,1487.0,,,1591.0
4288,2021-03-16,Suffolk,Revere,65-74 Years,5047.0,2923.0,1280.0,,,1643.0
4289,2021-03-16,Suffolk,Revere,75+ Years,4312.0,2687.0,2096.0,,,591.0
4290,2021-03-16,Suffolk,Revere,Total,60849.0,12613.0,7155.0,,,5458.0
6643,2021-03-23,Suffolk,Revere,0-19 Years,13297.0,137.0,51.0,,,86.0
6644,2021-03-23,Suffolk,Revere,20-29 Years,8303.0,1216.0,678.0,,,538.0
6645,2021-03-23,Suffolk,Revere,30-49 Years,17705.0,3628.0,1913.0,,,1715.0
6646,2021-03-23,Suffolk,Revere,50-64 Years,12184.0,3903.0,1944.0,,,1959.0
6647,2021-03-23,Suffolk,Revere,65-74 Years,5047.0,3230.0,1988.0,,,1242.0
6648,2021-03-23,Suffolk,Revere,75+ Years,4312.0,2765.0,2225.0,,,540.0
6649,2021-03-23,Suffolk,Revere,Total,60849.0,14879.0,8799.0,,,6080.0
9002,2021-03-30,Suffolk,Revere,0-19 Years,13297.0,214.0,77.0,,,137.0
9003,2021-03-30,Suffolk,Revere,20-29 Years,8303.0,1557.0,795.0,,,762.0
9004,2021-03-30,Suffolk,Revere,30-49 Years,17705.0,4616.0,2383.0,,,2233.0
9005,2021-03-30,Suffolk,Revere,50-64 Years,12184.0,4782.0,2528.0,,,2254.0
9006,2021-03-30,Suffolk,Revere,65-74 Years,5047.0,3450.0,2416.0,,,1034.0
9007,2021-03-30,Suffolk,Revere,75+ Years,4312.0,2822.0,2272.0,,,550.0
9008,2021-03-30,Suffolk,Revere,Total,60849.0,17441.0,10471.0,,,6970.0
11361,2021-04-06,Suffolk,Revere,0-19 Years,13297.0,310.0,92.0,,,218.0
11362,2021-04-06,Suffolk,Revere,20-29 Years,8303.0,2076.0,929.0,,,1147.0
11363,2021-04-06,Suffolk,Revere,30-49 Years,17705.0,5996.0,2747.0,,,3249.0
