,date,county,city,race,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2475,2021-03-09,Suffolk,Revere,AI/AN,55.0,,,,,
2476,2021-03-09,Suffolk,Revere,Asian,3428.0,410.0,211.0,,,199.0
2477,2021-03-09,Suffolk,Revere,Black,3713.0,455.0,280.0,,,175.0
2478,2021-03-09,Suffolk,Revere,Hispanic,24756.0,1806.0,829.0,,,977.0
2479,2021-03-09,Suffolk,Revere,Multi,582.0,157.0,98.0,,,59.0
2480,2021-03-09,Suffolk,Revere,NH/PI,11.0,,,,,
2481,2021-03-09,Suffolk,Revere,White,28857.0,6738.0,3612.0,,,3126.0
2482,2021-03-09,Suffolk,Revere,Other/Unknown,,1239.0,653.0,,,586.0
2483,2021-03-09,Suffolk,Revere,Total,60849.0,,,,,
5499,2021-03-16,Suffolk,Revere,AI/AN,55.0,,,,,
5500,2021-03-16,Suffolk,Revere,Asian,3428.0,517.0,279.0,,,238.0
5501,2021-03-16,Suffolk,Revere,Black,3713.0,535.0,339.0,,,196.0
5502,2021-03-16,Suffolk,Revere,Hispanic,24756.0,2172.0,1114.0,,,1058.0
5503,2021-03-16,Suffolk,Revere,Multi,582.0,177.0,118.0,,,59.0
5504,2021-03-16,Suffolk,Revere,NH/PI,11.0,,,,,
5505,2021-03-16,Suffolk,Revere,White,28857.0,7820.0,4553.0,,,3267.0
5506,2021-03-16,Suffolk,Revere,Other/Unknown,,1363.0,736.0,,,627.0
5507,2021-03-16,Suffolk,Revere,Total,60849.0,,,,,
8532,2021-03-23,Suffolk,Revere,AI/AN,55.0,,,,,
8533,2021-03-23,Suffolk,Revere,Asian,3428.0,673.0,359.0,,,314.0
8534,2021-03-23,Suffolk,Revere,Black,3713.0,623.0,383.0,,,240.0
8535,2021-03-23,Suffolk,Revere,Hispanic,24756.0,2737.0,1398.0,,,1339.0
8536,2021-03-23,Suffolk,Revere,Multi,582.0,222.0,142.0,,,80.0
8537,2021-03-23,Suffolk,Revere,NH/PI,11.0,,,,,
8538,2021-03-23,Suffolk,Revere,White,28857.0,9065.0,5656.0,,,3409.0
8539,2021-03-23,Suffolk,Revere,Other/Unknown,,1523.0,845.0,,,678.0
8540,2021-03-23,Suffolk,Revere,Total,60849.0,,,,,
11565,2021-03-30,Suffolk,Revere,AI/AN,55.0,,,,,
11566,2021-03-30,Suffolk,Revere,Asian,3428.0,829.0,437.0,,,392.0
