,date,county,city,gender,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
1100,2021-03-09,Suffolk,Revere,Female,30676.0,6295.0,3509.0,,,2786.0
1101,2021-03-09,Suffolk,Revere,Male,30173.0,4493.0,2175.0,,,2318.0
1102,2021-03-09,Suffolk,Revere,Other,,41.0,,,,
1103,2021-03-09,Suffolk,Revere,Total,60849.0,10829.0,,,,
2444,2021-03-16,Suffolk,Revere,Female,30676.0,7368.0,4329.0,,,3039.0
2445,2021-03-16,Suffolk,Revere,Male,30173.0,5201.0,2809.0,,,2392.0
2446,2021-03-16,Suffolk,Revere,Other,,44.0,,,,
2447,2021-03-16,Suffolk,Revere,Total,60849.0,12613.0,,,,
3788,2021-03-23,Suffolk,Revere,Female,30676.0,8640.0,5216.0,,,3424.0
3789,2021-03-23,Suffolk,Revere,Male,30173.0,6194.0,3563.0,,,2631.0
3790,2021-03-23,Suffolk,Revere,Other,,45.0,,,,
3791,2021-03-23,Suffolk,Revere,Total,60849.0,14879.0,,,,
5132,2021-03-30,Suffolk,Revere,Female,30676.0,10003.0,6095.0,,,3908.0
5133,2021-03-30,Suffolk,Revere,Male,30173.0,7388.0,4351.0,,,3037.0
5134,2021-03-30,Suffolk,Revere,Other,,50.0,,,,
5135,2021-03-30,Suffolk,Revere,Total,60849.0,17441.0,,,,
6476,2021-04-06,Suffolk,Revere,Female,30676.0,11530.0,6708.0,,,4822.0
6477,2021-04-06,Suffolk,Revere,Male,30173.0,8950.0,4900.0,,,4050.0
6478,2021-04-06,Suffolk,Revere,Other,,55.0,,,,
6479,2021-04-06,Suffolk,Revere,Total,60849.0,20535.0,,,,
7820,2021-04-13,Suffolk,Revere,Female,30676.0,13243.0,8216.0,,,5027.0
7821,2021-04-13,Suffolk,Revere,Male,30173.0,10741.0,6114.0,,,4627.0
7822,2021-04-13,Suffolk,Revere,Other,,69.0,35.0,,,34.0
7823,2021-04-13,Suffolk,Revere,Total,60849.0,24053.0,14365.0,,,9688.0
9164,2021-04-20,Suffolk,Revere,Female,30676.0,14651.0,9219.0,,,5432.0
9165,2021-04-20,Suffolk,Revere,Male,30173.0,12134.0,6939.0,,,5195.0
9166,2021-04-20,Suffolk,Revere,Other,,73.0,41.0,,,32.0
9167,2021-04-20,Suffolk,Revere,Total,60849.0,26858.0,16199.0,,,10659.0
10508,2021-04-27,Suffolk,Revere,Female,30676.0,15735.0,10642.0,,,5093.0
10509,2021-04-27,Suffolk,Revere,Male,30173.0,13367.0,8328.0,,,5039.0
10510,2021-04-27,Suffolk,Revere,Other,,79.0,42.0,,,37.0
10511,2021-04-27,Suffolk,Revere,Total,60849.0,29181.0,19012.0,,,10169.0
11852,2021-05-04,Suffolk,Revere,Female,30676.0,16776.0,12019.0,,,4757.0
11853,2021-05-04,Suffolk,Revere,Male,30173.0,14506.0,9742.0,,,4764.0
11854,2021-05-04,Suffolk,Revere,Other,,90.0,48.0,,,42.0
11855,2021-05-04,Suffolk,Revere,Total,60849.0,31372.0,21809.0,,,9563.0
13196,2021-05-11,Suffolk,Revere,Female,30676.0,17598.0,13391.0,,,4207.0
13197,2021-05-11,Suffolk,Revere,Male,30173.0,15441.0,11118.0,,,4323.0
13198,2021-05-11,Suffolk,Revere,Other,,96.0,50.0,,,46.0
13199,2021-05-11,Suffolk,Revere,Total,60849.0,33135.0,24559.0,,,8576.0
14540,2021-05-18,Suffolk,Revere,Female,30676.0,18487.0,14328.0,,,4159.0
14541,2021-05-18,Suffolk,Revere,Male,30173.0,16381.0,12130.0,,,4251.0
14542,2021-05-18,Suffolk,Revere,Other,,106.0,58.0,,,48.0
14543,2021-05-18,Suffolk,Revere,Total,60849.0,34974.0,26516.0,,,8458.0
15884,2021-05-25,Suffolk,Revere,Female,30676.0,19315.0,15383.0,,,3932.0
15885,2021-05-25,Suffolk,Revere,Male,30173.0,17240.0,13306.0,,,3934.0
15886,2021-05-25,Suffolk,Revere,Other,,117.0,64.0,,,53.0
15887,2021-05-25,Suffolk,Revere,Total,60849.0,36672.0,28753.0,,,7919.0
17232,2021-06-01,Suffolk,Revere,Female,30676.0,19886.0,16223.0,,,3663.0
17233,2021-06-01,Suffolk,Revere,Male,30173.0,17885.0,14338.0,,,3547.0
17234,2021-06-01,Suffolk,Revere,Other,,122.0,73.0,,,49.0
17235,2021-06-01,Suffolk,Revere,Total,60849.0,37893.0,30634.0,,,7259.0
18580,2021-06-08,Suffolk,Revere,Female,30676.0,20432.0,17123.0,,,3309.0
18581,2021-06-08,Suffolk,Revere,Male,30173.0,18462.0,15256.0,,,3206.0
18582,2021-06-08,Suffolk,Revere,Other,,125.0,74.0,,,51.0
18583,2021-06-08,Suffolk,Revere,Total,60849.0,39019.0,32453.0,,,6566.0
19928,2021-06-15,Suffolk,Revere,Female,30676.0,20808.0,17878.0,,,2930.0
19929,2021-06-15,Suffolk,Revere,Male,30173.0,18803.0,15964.0,,,2839.0
