date,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-09,Chelsea,75+ Years,1471.0,1106.0,847.0,859.0,554.0,259.0
2021-03-16,Chelsea,75+ Years,1471.0,1156.0,957.0,859.0,554.0,199.0
2021-03-23,Chelsea,75+ Years,1471.0,1193.0,1005.0,859.0,554.0,188.0
2021-03-30,Chelsea,75+ Years,1471.0,1226.0,1043.0,859.0,554.0,183.0
2021-04-06,Chelsea,75+ Years,1471.0,1253.0,1063.0,859.0,554.0,190.0
2021-04-13,Chelsea,75+ Years,1471.0,1273.0,1111.0,859.0,554.0,162.0
2021-04-20,Chelsea,75+ Years,1471.0,1300.0,1141.0,859.0,554.0,159.0
2021-04-27,Chelsea,75+ Years,1471.0,1315.0,1167.0,859.0,554.0,148.0
2021-05-04,Chelsea,75+ Years,1471.0,1332.0,1177.0,859.0,554.0,155.0
2021-05-11,Chelsea,75+ Years,1471.0,1343.0,1190.0,859.0,554.0,153.0
2021-05-18,Chelsea,75+ Years,1471.0,1362.0,1202.0,859.0,554.0,160.0
2021-05-25,Chelsea,75+ Years,1471.0,1371.0,1217.0,859.0,554.0,154.0
2021-06-01,Chelsea,75+ Years,1471.0,1381.0,1238.0,859.0,554.0,143.0
2021-06-08,Chelsea,75+ Years,1471.0,1398.0,1250.0,859.0,554.0,148.0
2021-06-15,Chelsea,75+ Years,1471.0,1407.0,1257.0,859.0,554.0,150.0
2021-06-22,Chelsea,75+ Years,1471.0,1409.0,1258.0,859.0,554.0,151.0
2021-06-29,Chelsea,75+ Years,1471.0,1413.0,1263.0,859.0,554.0,150.0
2021-07-06,Chelsea,75+ Years,1471.0,1415.0,1266.0,859.0,554.0,149.0
2021-07-13,Chelsea,75+ Years,1471.0,1425.0,1271.0,859.0,554.0,154.0
2021-07-20,Chelsea,75+ Years,1471.0,1428.0,1278.0,859.0,554.0,150.0
2021-07-27,Chelsea,75+ Years,1471.0,1430.0,1282.0,859.0,554.0,148.0
2021-08-03,Chelsea,75+ Years,1471.0,1429.0,1287.0,859.0,554.0,142.0
2021-08-10,Chelsea,75+ Years,1471.0,1433.0,1291.0,859.0,554.0,142.0
2021-08-17,Chelsea,75+ Years,1471.0,1437.0,1293.0,859.0,554.0,144.0
2021-08-24,Chelsea,75+ Years,1471.0,1437.0,1292.0,859.0,554.0,145.0
2021-08-31,Chelsea,75+ Years,1471.0,1440.0,1294.0,859.0,554.0,146.0
2021-09-07,Chelsea,75+ Years,1471.0,1443.0,1298.0,859.0,554.0,145.0
2021-09-14,Chelsea,75+ Years,1471.0,1446.0,1301.0,859.0,554.0,145.0
2021-09-21,Chelsea,75+ Years,1471.0,1446.0,1303.0,859.0,554.0,143.0
2021-09-28,Chelsea,75+ Years,1471.0,1518.0,1359.0,859.0,554.0,159.0
2021-10-05,Chelsea,75+ Years,1471.0,1531.0,1366.0,859.0,554.0,165.0
2021-10-12,Chelsea,75+ Years,1471.0,1546.0,1374.0,859.0,554.0,172.0
2021-10-19,Chelsea,75+ Years,1471.0,1562.0,1384.0,859.0,554.0,178.0
2021-10-26,Chelsea,75+ Years,1471.0,1578.0,1387.0,859.0,554.0,191.0
2021-11-02,Chelsea,75+ Years,1471.0,1603.0,1398.0,859.0,554.0,205.0
2021-11-09,Chelsea,75+ Years,1471.0,1628.0,1397.0,859.0,554.0,231.0
2021-11-16,Chelsea,75+ Years,1471.0,1659.0,1432.0,859.0,554.0,227.0
2021-11-23,Chelsea,75+ Years,1471.0,1656.0,1424.0,859.0,554.0,232.0
