date,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-09,Springfield,75+ Years,7978.0,4681.0,3478.0,3669.0,1644.0,1203.0
2021-03-16,Springfield,75+ Years,7978.0,4836.0,4001.0,3669.0,1644.0,835.0
2021-03-23,Springfield,75+ Years,7978.0,4998.0,4125.0,3669.0,1644.0,873.0
2021-03-30,Springfield,75+ Years,7978.0,5212.0,4296.0,3669.0,1644.0,916.0
2021-04-06,Springfield,75+ Years,7978.0,5412.0,4437.0,3669.0,1644.0,975.0
2021-04-13,Springfield,75+ Years,7978.0,5611.0,4659.0,3669.0,1644.0,952.0
2021-04-20,Springfield,75+ Years,7978.0,5744.0,4799.0,3669.0,1644.0,945.0
2021-04-27,Springfield,75+ Years,7978.0,5922.0,5017.0,3669.0,1644.0,905.0
2021-05-04,Springfield,75+ Years,7978.0,6024.0,5170.0,3669.0,1644.0,854.0
2021-05-11,Springfield,75+ Years,7978.0,6139.0,5304.0,3669.0,1644.0,835.0
2021-05-18,Springfield,75+ Years,7978.0,6207.0,5453.0,3669.0,1644.0,754.0
2021-05-25,Springfield,75+ Years,7978.0,6265.0,5548.0,3669.0,1644.0,717.0
2021-06-01,Springfield,75+ Years,7978.0,6311.0,5668.0,3669.0,1644.0,643.0
2021-06-08,Springfield,75+ Years,7978.0,6375.0,5764.0,3669.0,1644.0,611.0
2021-06-15,Springfield,75+ Years,7978.0,6422.0,5839.0,3669.0,1644.0,583.0
2021-06-22,Springfield,75+ Years,7978.0,6455.0,5890.0,3669.0,1644.0,565.0
2021-06-29,Springfield,75+ Years,7978.0,6481.0,5933.0,3669.0,1644.0,548.0
2021-07-06,Springfield,75+ Years,7978.0,6511.0,5961.0,3669.0,1644.0,550.0
2021-07-13,Springfield,75+ Years,7978.0,6526.0,5999.0,3669.0,1644.0,527.0
2021-07-20,Springfield,75+ Years,7978.0,6537.0,6019.0,3669.0,1644.0,518.0
2021-07-27,Springfield,75+ Years,7978.0,6559.0,6038.0,3669.0,1644.0,521.0
2021-08-03,Springfield,75+ Years,7978.0,6584.0,6065.0,3669.0,1644.0,519.0
2021-08-10,Springfield,75+ Years,7978.0,6606.0,6080.0,3669.0,1644.0,526.0
2021-08-17,Springfield,75+ Years,7978.0,6628.0,6103.0,3669.0,1644.0,525.0
2021-08-24,Springfield,75+ Years,7978.0,6648.0,6126.0,3669.0,1644.0,522.0
2021-08-31,Springfield,75+ Years,7978.0,6667.0,6146.0,3669.0,1644.0,521.0
2021-09-07,Springfield,75+ Years,7978.0,6694.0,6168.0,3669.0,1644.0,526.0
2021-09-14,Springfield,75+ Years,7978.0,6712.0,6189.0,3669.0,1644.0,523.0
2021-09-21,Springfield,75+ Years,7978.0,6718.0,6200.0,3669.0,1644.0,518.0
2021-09-28,Springfield,75+ Years,7978.0,6752.0,6212.0,3669.0,1644.0,540.0
2021-10-05,Springfield,75+ Years,7978.0,6815.0,6241.0,3669.0,1644.0,574.0
2021-10-12,Springfield,75+ Years,7978.0,6868.0,6260.0,3669.0,1644.0,608.0
2021-10-19,Springfield,75+ Years,7978.0,6980.0,6319.0,3669.0,1644.0,661.0
2021-10-26,Springfield,75+ Years,7978.0,7075.0,6355.0,3669.0,1644.0,720.0
2021-11-02,Springfield,75+ Years,7978.0,7186.0,6393.0,3669.0,1644.0,793.0
2021-11-09,Springfield,75+ Years,7978.0,7352.0,6519.0,3669.0,1644.0,833.0
2021-11-16,Springfield,75+ Years,7978.0,7499.0,6659.0,3669.0,1644.0,840.0
2021-11-23,Springfield,75+ Years,7978.0,7607.0,6687.0,3669.0,1644.0,920.0
2021-11-30,Springfield,75+ Years,7978.0,7644.0,6692.0,3669.0,1644.0,952.0
2021-12-07,Springfield,75+ Years,7978.0,7659.0,6722.0,3669.0,1644.0,937.0
2021-12-14,Springfield,75+ Years,7978.0,7701.0,6752.0,3669.0,1644.0,949.0
2021-12-21,Springfield,75+ Years,7978.0,7732.0,6761.0,3669.0,1644.0,971.0
2021-12-28,Springfield,75+ Years,7978.0,7732.0,6773.0,3835.0,1644.0,959.0
2022-01-04,Springfield,75+ Years,7978.0,7739.0,6790.0,3975.0,1644.0,949.0
2022-01-11,Springfield,75+ Years,7978.0,7711.0,6804.0,4135.0,1644.0,907.0
2022-01-18,Springfield,75+ Years,7978.0,7736.0,6815.0,4324.0,1644.0,921.0
2022-01-25,Springfield,75+ Years,7978.0,7752.0,6824.0,4418.0,1644.0,928.0
2022-02-01,Springfield,75+ Years,7978.0,7759.0,6836.0,4487.0,1644.0,923.0
2022-02-08,Springfield,75+ Years,7978.0,7762.0,6840.0,4541.0,1644.0,922.0
2022-02-15,Springfield,75+ Years,7978.0,7766.0,6842.0,4618.0,1644.0,924.0
2022-02-22,Springfield,75+ Years,7978.0,7776.0,6847.0,4662.0,1644.0,929.0
2022-03-01,Springfield,75+ Years,7978.0,7786.0,6848.0,4689.0,1644.0,938.0
2022-03-08,Springfield,75+ Years,7978.0,7794.0,6851.0,4707.0,1644.0,943.0
2022-03-15,Springfield,75+ Years,7978.0,7796.0,6850.0,4718.0,1644.0,946.0
2022-03-22,Springfield,75+ Years,7978.0,7803.0,6853.0,4746.0,1644.0,950.0
2022-03-29,Springfield,75+ Years,7978.0,7806.0,6854.0,4761.0,1644.0,952.0
2022-04-05,Springfield,75+ Years,7978.0,7810.0,6860.0,4788.0,1644.0,950.0
2022-04-12,Springfield,75+ Years,7978.0,7826.0,6879.0,4816.0,1644.0,947.0
2022-04-19,Springfield,75+ Years,7978.0,7849.0,6895.0,4852.0,1644.0,954.0
2022-04-26,Springfield,75+ Years,7978.0,7940.0,6917.0,4885.0,1644.0,1023.0
2022-05-03,Springfield,75+ Years,7978.0,7980.0,6942.0,4919.0,1644.0,1038.0
2022-05-10,Springfield,75+ Years,7978.0,7971.0,6939.0,4937.0,1644.0,1032.0
2022-05-17,Springfield,75+ Years,7978.0,7964.0,6953.0,4968.0,1644.0,1011.0
2022-05-24,Springfield,75+ Years,7978.0,7970.0,6957.0,4996.0,1644.0,1013.0
2022-05-31,Springfield,75+ Years,7978.0,7992.0,6968.0,5034.0,1644.0,1024.0
2022-06-07,Springfield,75+ Years,7978.0,7993.0,6974.0,5046.0,1644.0,1019.0
2022-06-14,Springfield,75+ Years,7978.0,7992.0,6980.0,5058.0,1644.0,1012.0
2022-06-21,Springfield,75+ Years,7978.0,8007.0,6985.0,5074.0,1644.0,1022.0
2022-06-28,Springfield,75+ Years,7977.0,8007.0,6987.0,5086.0,1644.0,1020.0
2022-07-05,Springfield,75+ Years,7977.0,8008.0,6989.0,5097.0,1644.0,1019.0
2022-07-12,Springfield,75+ Years,8047.0,8015.0,6993.0,5109.0,1644.0,1019.0
2022-07-19,Springfield,75+ Years,8047.0,8022.0,6994.0,5115.0,1696.0,1019.0
2022-07-26,Springfield,75+ Years,8047.0,8024.0,7000.0,5131.0,1766.0,1019.0
2022-08-02,Springfield,75+ Years,8047.0,8018.0,6999.0,5141.0,1829.0,1019.0
2022-08-09,Springfield,75+ Years,8047.0,8015.0,7003.0,5150.0,1876.0,1019.0
2022-08-16,Springfield,75+ Years,8047.0,8011.0,7002.0,5159.0,1911.0,1019.0
2022-08-23,Springfield,75+ Years,8047.0,8007.0,7004.0,5166.0,1946.0,1019.0
2022-08-30,Springfield,75+ Years,8047.0,8007.0,7006.0,5179.0,1965.0,1019.0
2022-09-06,Springfield,75+ Years,8047.0,8005.0,7011.0,5184.0,1974.0,1019.0
2022-09-13,Springfield,75+ Years,8047.0,8003.0,7022.0,5201.0,2007.0,1019.0
2022-09-20,Springfield,75+ Years,8047.0,7999.0,7036.0,5232.0,2073.0,1019.0
2022-09-27,Springfield,75+ Years,8047.0,8004.0,7044.0,5253.0,2157.0,1019.0
2022-10-04,Springfield,75+ Years,8047.0,8029.0,7057.0,5270.0,2270.0,1019.0
2022-10-11,Springfield,75+ Years,8047.0,8025.0,7062.0,5297.0,2376.0,1019.0
2022-10-18,Springfield,75+ Years,8047.0,8014.0,7080.0,5334.0,2477.0,1019.0
2021-03-09,Springfield,65-74 Years,12152.0,4298.0,1382.0,5710.0,2321.0,2916.0
2021-03-16,Springfield,65-74 Years,12152.0,5299.0,1942.0,5710.0,2321.0,3357.0
2021-03-23,Springfield,65-74 Years,12152.0,6194.0,2566.0,5710.0,2321.0,3628.0
2021-03-30,Springfield,65-74 Years,12152.0,7117.0,3648.0,5710.0,2321.0,3469.0
2021-04-06,Springfield,65-74 Years,12152.0,7732.0,4686.0,5710.0,2321.0,3046.0
2021-04-13,Springfield,65-74 Years,12152.0,8379.0,5563.0,5710.0,2321.0,2816.0
