date,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-09,Everett,75+ Years,2237.0,1432.0,1033.0,929.0,445.0,399.0
2021-03-16,Everett,75+ Years,2237.0,1507.0,1122.0,929.0,445.0,385.0
2021-03-23,Everett,75+ Years,2237.0,1533.0,1203.0,929.0,445.0,330.0
2021-03-30,Everett,75+ Years,2237.0,1570.0,1235.0,929.0,445.0,335.0
2021-04-06,Everett,75+ Years,2237.0,1618.0,1280.0,929.0,445.0,338.0
2021-04-13,Everett,75+ Years,2237.0,1657.0,1349.0,929.0,445.0,308.0
2021-04-20,Everett,75+ Years,2237.0,1677.0,1379.0,929.0,445.0,298.0
2021-04-27,Everett,75+ Years,2237.0,1698.0,1409.0,929.0,445.0,289.0
2021-05-04,Everett,75+ Years,2237.0,1714.0,1432.0,929.0,445.0,282.0
2021-05-11,Everett,75+ Years,2237.0,1736.0,1461.0,929.0,445.0,275.0
2021-05-18,Everett,75+ Years,2237.0,1756.0,1477.0,929.0,445.0,279.0
2021-05-25,Everett,75+ Years,2237.0,1766.0,1488.0,929.0,445.0,278.0
2021-06-01,Everett,75+ Years,2237.0,1777.0,1503.0,929.0,445.0,274.0
2021-06-08,Everett,75+ Years,2237.0,1795.0,1523.0,929.0,445.0,272.0
2021-06-15,Everett,75+ Years,2237.0,1797.0,1538.0,929.0,445.0,259.0
2021-06-22,Everett,75+ Years,2237.0,1804.0,1541.0,929.0,445.0,263.0
2021-06-29,Everett,75+ Years,2237.0,1813.0,1553.0,929.0,445.0,260.0
2021-07-06,Everett,75+ Years,2237.0,1815.0,1558.0,929.0,445.0,257.0
2021-07-13,Everett,75+ Years,2237.0,1821.0,1565.0,929.0,445.0,256.0
2021-07-20,Everett,75+ Years,2237.0,1828.0,1573.0,929.0,445.0,255.0
2021-07-27,Everett,75+ Years,2237.0,1834.0,1575.0,929.0,445.0,259.0
2021-08-03,Everett,75+ Years,2237.0,1842.0,1577.0,929.0,445.0,265.0
2021-08-10,Everett,75+ Years,2237.0,1847.0,1586.0,929.0,445.0,261.0
2021-08-17,Everett,75+ Years,2237.0,1848.0,1593.0,929.0,445.0,255.0
2021-08-24,Everett,75+ Years,2237.0,1855.0,1600.0,929.0,445.0,255.0
2021-08-31,Everett,75+ Years,2237.0,1865.0,1608.0,929.0,445.0,257.0
2021-09-07,Everett,75+ Years,2237.0,1867.0,1613.0,929.0,445.0,254.0
2021-09-14,Everett,75+ Years,2237.0,1873.0,1619.0,929.0,445.0,254.0
2021-09-21,Everett,75+ Years,2237.0,1879.0,1629.0,929.0,445.0,250.0
2021-09-28,Everett,75+ Years,2237.0,1886.0,1635.0,929.0,445.0,251.0
2021-10-05,Everett,75+ Years,2237.0,1892.0,1639.0,929.0,445.0,253.0
2021-10-12,Everett,75+ Years,2237.0,1901.0,1641.0,929.0,445.0,260.0
2021-10-19,Everett,75+ Years,2237.0,1906.0,1641.0,929.0,445.0,265.0
2021-10-26,Everett,75+ Years,2237.0,1921.0,1649.0,929.0,445.0,272.0
2021-11-02,Everett,75+ Years,2237.0,1933.0,1664.0,929.0,445.0,269.0
2021-11-09,Everett,75+ Years,2237.0,1953.0,1679.0,929.0,445.0,274.0
2021-11-16,Everett,75+ Years,2237.0,1972.0,1699.0,929.0,445.0,273.0
2021-11-23,Everett,75+ Years,2237.0,2006.0,1718.0,929.0,445.0,288.0
2021-11-30,Everett,75+ Years,2237.0,2016.0,1725.0,929.0,445.0,291.0
2021-12-07,Everett,75+ Years,2237.0,1999.0,1724.0,929.0,445.0,275.0
2021-12-14,Everett,75+ Years,2237.0,2006.0,1733.0,929.0,445.0,273.0
2021-12-21,Everett,75+ Years,2237.0,2012.0,1735.0,929.0,445.0,277.0
2021-12-28,Everett,75+ Years,2237.0,2012.0,1736.0,971.0,445.0,276.0
2022-01-04,Everett,75+ Years,2237.0,2017.0,1741.0,1014.0,445.0,276.0
2022-01-11,Everett,75+ Years,2237.0,2024.0,1749.0,1077.0,445.0,275.0
2022-01-18,Everett,75+ Years,2237.0,2029.0,1753.0,1107.0,445.0,276.0
2022-01-25,Everett,75+ Years,2237.0,2035.0,1757.0,1131.0,445.0,278.0
2022-02-01,Everett,75+ Years,2237.0,2040.0,1759.0,1144.0,445.0,281.0
2022-02-08,Everett,75+ Years,2237.0,2042.0,1757.0,1159.0,445.0,285.0
2022-02-15,Everett,75+ Years,2237.0,2040.0,1756.0,1170.0,445.0,284.0
2022-02-22,Everett,75+ Years,2237.0,2037.0,1754.0,1184.0,445.0,283.0
2022-03-01,Everett,75+ Years,2237.0,2039.0,1759.0,1195.0,445.0,280.0
2022-03-08,Everett,75+ Years,2237.0,2039.0,1759.0,1204.0,445.0,280.0
2022-03-15,Everett,75+ Years,2237.0,2044.0,1762.0,1211.0,445.0,282.0
2022-03-22,Everett,75+ Years,2237.0,2047.0,1766.0,1216.0,445.0,281.0
2022-03-29,Everett,75+ Years,2237.0,2044.0,1767.0,1230.0,445.0,277.0
2022-04-05,Everett,75+ Years,2237.0,2048.0,1770.0,1239.0,445.0,278.0
